"orcid","pid","top1matcher_longest_common_word","top2matcher_longest_common_word","orcid_name","matched_biblio_author","matched_biblio_author2"
"0000-0002-7169-7103","53e9a689b7602d9702fbcbc7","kenwright","","alan kenwright","alan m. kenwright","david parker"
"0000-0002-5674-6253","55a494fd65ceb7cb02d2bf9a","chizimuzo","","chizimuzo okoli","okoli chizimuzo t c","poole nancy"
"0000-0001-5233-7113","55c3434d683a451f09d28772","alexandre","","alexandre l'erario","l'erario, alexandre","de souza, vanessa faria"
"0000-0003-0216-9881","53e9ac55b7602d9703626f8d","wolf reik","","wolf reik","wolf reik","margaret a. leversha"
"0000-0002-7939-5150","5c0f806fda562944ac85b909","xudong li","","xudong li","xudong li","zeng yi"
"0000-0002-1914-0455","53e9b4bab7602d9703fd1d2a","catterall","","carla catterall","carla p. catterall","peter c. pollard"
"0000-0001-7855-3690","56d90ededabfae2eee2e8312","schneider","","bohdan schneider","b schneider","jan metys"
"0000-0002-4939-3971","53e99ea1b7602d970276cbc8","selesnick","","ivan selesnick","ivan w. selesnick","İlker bayram"
"0000-0003-3692-999X","56d91fb4dabfae2eee9619de","nickerson","","jason nickerson","jason w nickerson","peter j walker"
"0000-0003-1960-5627","55a411c565ce5cd7b3c32871","michifumi","","michifumi tokuda","tokuda michifumi","ito keiichi"
"0000-0001-7134-7376","5c136870da56295a08a1b28b","agostinho","","agostinho g rocha, phd","agostinho gomes rocha","rebecca l roston"
"0000-0003-1830-7783","56d8a33adabfae2eee75e76c","abdullah ","","abdullah  hassan","abdullah a saad","wasi khan"
"0000-0003-4547-8094","55a4aac3612ca648689f5988","keshavjee","","shaf keshavjee","keshavjee shaf","de perrot marc"
"0000-0001-9757-0031","55a68f5965ce054aad6bcb8e","adi-japha","","esther adi-japha","adi-japha esther","abu-asba haia"
"0000-0002-6425-5980","55a467fc65ce31bc8779a76c","hershberg","","uri hershberg","hershberg uri","costa kevin d"
"0000-0001-8858-7552","53e9b01db7602d9703a7acea","ostrensky","","antonio ostrensky","a. ostrensky","l. esteva"
"0000-0001-7683-5811","53e9b2aab7602d9703d5126f","wei jiang","","wei jiang","wei jiang","andreas schäfer"
"0000-0002-8624-5740","5c0f7490da562944ac6b3e32","ying xiao","","ying xiao","ying xiao","wenkai huang"
"0000-0003-0755-8747","55a38c87c91b587b095a9f88","mclachlan","","elspeth mclachlan","mclachlan elspeth m","brock james a"
"0000-0003-4924-6856","53e99b50b7602d97023f058d","puttaraju","","h.p. puttaraju","h. p. puttaraju","b. m. prakash"
"0000-0001-8075-6817","55a40fb165ce5cd7b3c2a0dc","kasparian","","nadine kasparian","kasparian nadine a","meiser bettina"
"0000-0002-1805-8863","56d8ded8dabfae2eee04d75e","wilkinson","","anna wilkinson","anna v wilkinson","nalini ranjit"
"0000-0003-0615-4804","55a555d065ceb7cb02e8ad7d","rosencher","","nadia  rosencher","rosencher nadia","godier anne"
"0000-0002-7723-1785","57d564530cf28efd22732d7a","de ridder","","huib de ridder","de ridder huib","sawyer ben d"
"0000-0001-7516-1050","554eb98a0cf28d26f614a7ef","christine","","christine burns","burns christine j","blackwell c caroline"
"0000-0001-5953-5956","5a14e1780cf2dcc70c058bc2","van eerde","","albertien m. van eerde","van eerde albertien m","knoers nine v a m"
"0000-0003-1431-3078","56d909bedabfae2eee0ea96e","karpowicz","","michał karpowicz","michal p karpowicz",""
"0000-0001-8800-3764","53e9b6a2b7602d970421828f","emma lane","","emma lane","emma lane","stephen dunnett"
"0000-0001-9646-6427","53e9b089b7602d9703af2aa5","alexander","","michael alexander","michael a. alexander","james d. scott"
"0000-0002-1275-7356","53e9aeebb7602d970391963a","pakarinen","","päivi pakarinen","päivi i. pakarinen","tapani luukkainen"
"0000-0002-2690-3975","55a4c29b65ceb7cb02d7c02f","elizabeth","","elizabeth savage","savage elizabeth","johar meliyanni"
"0000-0003-3224-5785","53e9ba49b7602d970465ad79","schneider","","ana claudia schneider","ana c. r. schneider","themis r. da silveira"
"0000-0001-7361-1951","55a3f7a665ce5cd7b3bebf5d","elizabeth","","elizabeth schlenk","schlenk elizabeth a","agbemenu kafuli"
"0000-0002-7508-3328","5489100645ce471f90abdffb","robertson","","keith robertson","keith d. robertson","kebin liu"
"0000-0001-9144-3648","5c136388da56295a089a2d30","jehee lee","","jehee lee","jehee lee","navaneethaiyer umasuthan"
"0000-0001-7582-8791","56d8e031dabfae2eee0d06ad","andersson","","mats andersson","mats x andersson","hans jacobsson"
"0000-0003-1801-9466","53e9b115b7602d9703b94202","szczodrak","","janusz szczodrak","j. szczodrak","j. fiedurek"
