"orcid","pm_id","top1matcher_longest_common_word","top2matcher_longest_common_word","orcid_name","matched_biblio_author","matched_biblio_author2"
"0000-0002-6578-2547","31553884","joohoon kang","","joohoon kang","joohoon kang","sungjoo lee"
"0000-0001-8576-1877","31805732","hyun woo kim","","hyun woo kim","hyun woo kim","sun young joo"
"0000-0003-2417-5406","24451636","darren fayne","","darren fayne","darren fayne"," "
"0000-0002-6826-581X","24904648","priti talwar","","priti talwar","priti talwar","pratibha singh"
"0000-0001-9320-6021","21381181","jian-hua mao","","jian-hua mao","jian-hua mao","jia-li tan"
"0000-0003-3605-6076","27132465","rajiv chopra","","rajiv chopra","rajiv chopra","gerben schooneveldt"
"0000-0002-8168-6045","25015863","johan bulten","","johan bulten","johan bulten","maaike a p c van ham"
"0000-0003-1251-0529","26543538","zhimin huang","","zhimin huang","zhimin huang","yanbing li"
"0000-0003-3155-675X","21370243","lars goerigk","","lars goerigk","lars goerigk","stefan grimme"
"0000-0002-8416-2204","29785535","katja stange","","katja stange","katja stange","monika röntgen"
"0000-0002-1505-5173","22508542","rena d'souza","","rena d'souza","rena d'souza","brendan lee"
"0000-0003-0485-0072","28894215","hyuk soo eun","","hyuk soo eun","hyuk soo eun","seok hyun kim"
"0000-0002-7889-3780","23852706","deeplina das","","deeplina das","deeplina das","arun goyal"
"0000-0002-0501-6162","31490497","lidong zhang","","lidong zhang","lidong zhang","qing chen"
"0000-0002-2487-8366","30903313","toshiki kuno","","toshiki kuno","toshiki kuno","toshinobu ryuzaki"
"0000-0002-2833-2694","17080496","assimopoulou","","andreana assimopoulou","a n assimopoulou","a vasiliou"
"0000-0002-7569-8429","29497830","frank silver","","frank silver","frank silver","victoria sherman"
"0000-0003-2507-6186","25577210","marta tunesi","","marta tunesi","marta tunesi","fabiola munarin"
"0000-0001-8561-2513","29602464","qin xiang ng","","qin xiang ng","qin xiang ng","collin yih xian ho"
"0000-0001-8154-8278","31151321","jacob george","","jacob george","jacob george","scott jamieson"
"0000-0003-2040-4507","20533814","josé ramón","","josé ramón bertomeu sánchez","josé ramón bertomeu-sánchez","antonio garcía belmar"
"0000-0002-7499-3004","18626020","naoki yamaji","","naoki yamaji","naoki yamaji","namiki mitani"
"0000-0002-5797-3220","29954633","wentao jiang","","wentao jiang","wentao jiang","taoping bai"
"0000-0001-9346-3845","25226358","lionel mabit","","lionel mabit","lionel mabit","nicola mallimo"
"0000-0002-1461-9889","26137878","ümit ceylan","","ümit ceylan","ümit ceylan","recep tapramaz"
"0000-0002-3606-3340","25518627","ben fogelson","","ben fogelson","ben fogelson"," "
"0000-0001-9688-9032","20821948","srujan ameda","","srujan ameda","srujan ameda","sujeeth reddy punnam"
"0000-0002-9039-3439","30928954","toru miyoshi","","toru miyoshi","toru miyoshi","hiroshi ito"
"0000-0002-3495-4051","23340290","tak mao chan","","tak mao chan","tak mao chan","litao wang"
"0000-0002-2999-3451","20395075","jorge ramón","","jorge ramón lópez olvera","jorge ramón lópez-olvera","miguel angel jiménez-clavero"
"0000-0001-7498-0695","31388068","gebrechorkos","","solomon hailu gebrechorkos","solomon h gebrechorkos","christian bernhofer"
"0000-0003-3547-9755","31716141","witold morek","","witold morek","witold morek","dilian georgiev"
"0000-0002-6049-6664","12719593","sonja welsch","","sonja welsch","sonja welsch","sibylle schleich"
"0000-0002-0287-8576","26372473","clare wilson","","clare wilson","clare wilson","wilfred otten"
"0000-0002-4815-7336","18945212","huangen ding","","huangen ding","huangen ding","juanjuan yang"
"0000-0002-3443-3117","20138793","omer karadag","","omer karadag","omer karadag","meral calguneri"
"0000-0001-7878-8895","22999994","bruce barton","","bruce barton","bruce barton","aparna roy"
"0000-0001-7360-388X","30132909","munira wells","","munira wells","munira wells","connie r kartoz"
"0000-0002-3857-8030","28548135","kirsty minton","","kirsty minton","kirsty minton"," "
"0000-0002-7289-4248","16290810","yves dufrêne","","yves dufrêne","yves dufrêne","stéphane biltresse"
"0000-0002-3391-7857","14697330","sanchez-ramos","","juan sanchez-ramos","j sanchez-ramos","d mosquera"
"0000-0002-8379-8761","29238876","shingo fukuma","","shingo fukuma","shingo fukuma","shunichi fukuhara"
"0000-0002-6394-5330","28192504","ping jack soh","","ping jack soh","ping jack soh","beng wah chew"
"0000-0002-0587-8045","30700910","noemi rotllan","","noemi rotllan","noemi rotllan","john e mindur"
"0000-0003-4357-5958","24960044","irina gromova","","irina gromova","irina gromova","cinzia tesauro"
"0000-0003-1508-0456","24194936","marije hennus","","marije hennus","marije hennus","marianne boes"
"0000-0002-4432-0941","22675251","doo-byoung oh","","doo-byoung oh","doo-byoung oh","young-kug choo"
"0000-0001-6701-6793","29194215","renato torres","","renato torres","renato torres","daniele bernardeschi"
"0000-0002-3362-3285","30837969","hirokazu toju","","hirokazu toju","hirokazu toju","hiroko kurokawa"
"0000-0002-8485-2520","17090336","belen pintado","","belen pintado","belen pintado","eva pericuesta"
"0000-0001-7223-3688","30155601","zheala qayyum","","zheala qayyum","zheala qayyum","ryan wallace"
"0000-0001-5458-9330","28772002","volker sieber","","volker sieber","volker sieber","michael hofer"
"0000-0002-2894-0585","26504166","edward avezov","","edward avezov","edward avezov","eduardo pinho melo"
"0000-0002-1435-4585","23551211","amit adhikary","","amit adhikary","amit adhikary","soumyabrata goswami"
"0000-0001-7107-9244","16617144","gil tae hwang","","gil tae hwang","gil tae hwang","floyd e romesberg"
"0000-0002-9453-4614","25925585","joern dengjel","","joern dengjel","joern dengjel","mikkel rohde"
"0000-0002-4463-3067","31564437","shahida moosa","","shahida moosa","shahida moosa","arsonval lamounier"
"0000-0002-9158-1511","17939115","shivalingappa","","shivalingappa swamynathan","shivalingappa k swamynathan","joram piatigorsky"
"0000-0001-5055-988X","19596232","sheena d'arcy","","sheena d'arcy","sheena d'arcy","mekonnen lemma dechassa"
"0000-0003-4821-7500","24315963","chiung-wen hu","","chiung-wen hu","chiung-wen hu","inn-wen chong"
"0000-0002-8135-7719","30912424","jong-hyun ahn","","jong-hyun ahn","jong-hyun ahn","seung won lee"
"0000-0002-1386-7573","28862742","mahé raccaud","","mahé raccaud","mahé raccaud","david m suter"
"0000-0002-6113-2133","28107895","thomas probst","","thomas probst","thomas probst","claas lahmann"
"0000-0003-0828-2930","15567175","yasushi fujio","","yasushi fujio","yasushi fujio","takashi ito"
"0000-0001-7536-9927","19054572","mario miniati","","mario miniati","mario miniati","marta milianti"
"0000-0002-2646-9224","21405945","igea d'agnano","","igea d'agnano","igea d'agnano","antonio stigliano"
"0000-0003-1523-7759","18001036","adele papetti","","adele papetti","adele papetti","camilla aceti"
"0000-0003-0697-719X","24881549","priego-capote","","feliciano priego-capote","f priego-capote","c ferreiro vera"
"0000-0001-8697-4321","30798291","sohail bampoe","","sohail bampoe","sohail bampoe","guy haller"
"0000-0003-1257-5461","28342357","muñoz sierra","","julian david muñoz sierra","julian muñoz sierra","shoujun yuan"
"0000-0002-5640-2143","23911633","claudio ratti","","claudio ratti","claudio ratti","di yang"
"0000-0002-0786-1802","28017824","ambra paolini","","ambra paolini","ambra paolini","paola bresciani"
"0000-0001-8171-7027","25705612","monique barel","","monique barel","monique barel","elodie ramond"
"0000-0001-6324-6559","28483197","merryn voysey","","merryn voysey","merryn voysey","sena jawad"
"0000-0002-3359-025X","24122064","marta panzeri","","marta panzeri","marta panzeri","dominga paridi"
"0000-0002-7707-9947","31211385","henrik bjarke","","henrik bjarke vægter","henrik bjarke vaegter","monika i hasenbring"
"0000-0002-8963-6421","31834491","carina zittra","","carina zittra","carina zittra","mike heddergott"
"0000-0002-7434-1751","29068095","freek van ede","","freek van ede","freek van ede"," "
"0000-0001-8433-0821","29938539","david russell","","david russell","david russell","holly prigerson"
"0000-0001-8541-6416","31655751","gregory sawin","","gregory sawin","gregory sawin","nicole o'connor"
"0000-0003-0193-0667","17555552","albert tauler","","albert tauler","albert tauler","petar podlesniy"
"0000-0002-6415-4768","28570821","xiaosong wang","","xiaosong wang","xiaosong wang","nimer murshid"
"0000-0001-8835-1654","14680890","atin adhikari","","atin adhikari","atin adhikari","swati gupta-bhattacharya"
"0000-0002-3551-2175","31735898","jonathan rose","","jonathan rose","jonathan rose","moshe eizenman"
"0000-0003-4296-6957","16090753","tobias herman","","tobias herman","tobias herman","john beamish"
"0000-0003-3599-4036","31452525","jeroen douwes","","jeroen douwes","jeroen douwes","joanne slater"
"0000-0002-2800-9360","17121900","ta-chiang liu","","ta-chiang liu","ta-chiang liu","tingguo zhang"
"0000-0002-3082-8074","29436766","elham pishbin","","elham pishbin","elham pishbin","negin attaran mashhadi"
"0000-0001-8897-2047","23228548","fagua alvarez","","fagua alvarez","fagua alvarez-flórez","dolors vidal"
"0000-0002-6060-1487","21847416","kai yuen wong","","kai yuen wong","kai yuen wong","paul v tisi"
"0000-0003-1779-6140","25897635","jianping xiao","","jianping xiao","jianping xiao","qiang fu"
"0000-0002-0293-3694","31738875","kirsten auret","","kirsten auret","kirsten auret","jeremy rogers"
"0000-0003-0480-8747","23499107","michel grisel","","michel grisel","michel grisel","vincent loisel"
"0000-0001-9303-0513","21874322","miguel a pozo","","miguel a pozo","miguel a pozo","iván peñuelas"
"0000-0001-9359-5573","17265175","koji tsuchida","","koji tsuchida","koji tsuchida","tetsu ando"
"0000-0002-9452-4037","16503416","cinzia forleo","","cinzia forleo","cinzia forleo","lucia varraso"
"0000-0003-2962-7379","25212300","jacopo troisi","","jacopo troisi","jacopo troisi","gian carlo tenore"
"0000-0003-1655-9549","28060916","hyo geun choi","","hyo geun choi","hyo geun choi","so young kim"
"0000-0003-1169-731X","29916077","ricardo tejos","","ricardo tejos","ricardo tejos","claudio osorio-navarro"
"0000-0002-8550-9791","19428945","ashish sharma","","ashish sharma","ashish sharma","baruch d kuppermann"
"0000-0002-8845-6576","30835451","pascal manuel","","pascal manuel","pascal manuel","jianhua lin"
"0000-0002-5511-3390","27623572","ruoqiao zhang","","ruoqiao zhang","ruoqiao zhang","zhiqian chang"
"0000-0002-2494-0131","21353409","melis palamar","","melis palamar","melis palamar","fahri sahin"
